Wall time,Step,Value
1515357782.3258998,1,0.013749999925494194
1515358374.260063,661,0.012500000186264515
1515358975.6387532,1324,0.009999999776482582
1515359573.808128,1987,0.017500000074505806
1515361063.8063674,1988,0.014999999664723873
1515361653.3976743,2676,0.013749999925494194
1515362731.657362,2677,0.023749999701976776
1515363312.8988614,3382,0.02250000089406967
1515363917.001851,4089,0.01875000074505806
1515364523.1238801,4792,0.026249999180436134
1515365122.9117694,5489,0.04125000163912773
1515365716.5461068,6188,0.038750000298023224
1515366322.8527968,6893,0.05000000074505806
1515366923.7235768,7591,0.04625000059604645
1515367519.4952147,8289,0.04749999940395355
1515368124.3765194,8994,0.07000000029802322
1515368718.3920584,9693,0.057500001043081284
1515369322.5317256,10400,0.05000000074505806
1515369926.9535968,11103,0.0625
1515370526.4175115,11803,0.05874999985098839
1515371129.9177747,12504,0.05000000074505806
1515371729.0733848,13201,0.09125000238418579
1515372331.7227736,13897,0.0625
1515372928.8346667,14593,0.0625
1515373531.8699698,15292,0.08124999701976776
1515374130.4500818,15989,0.08375000208616257
1515374733.7244945,16689,0.08124999701976776
1515375332.4295394,17383,0.08375000208616257
1515375937.303808,18078,0.09125000238418579
1515376531.382664,18758,0.08375000208616257
1515377135.4271598,19458,0.08749999850988388
1515377736.2508492,20152,0.07874999940395355
1515378335.9598484,20844,0.08749999850988388
1515378935.3071783,21540,0.09749999642372131
1515379542.392248,22235,0.09749999642372131
1515380138.4458508,22923,0.09375
1515380736.8848324,23618,0.10499999672174454
1515381337.9385924,24313,0.09624999761581421
1515381936.9648795,25008,0.10875000059604645
1515382531.8783782,25690,0.10625000298023224
1515383127.0265937,26382,0.11874999850988388
1515383726.0807052,27079,0.11999999731779099
1515384326.3097064,27780,0.12125000357627869
1515384928.9918263,28477,0.12999999523162842
1515385528.2937078,29172,0.11375000327825546
1515386126.184147,29879,0.11749999970197678
1515386725.7045054,30592,0.14000000059604645
1515387326.6665058,31306,0.13625000417232513
1515387929.0405974,32020,0.14249999821186066
1515388526.7004645,32731,0.13750000298023224
1515389128.1033645,33447,0.14499999582767487
1515389730.3762093,34161,0.1525000035762787
1515390330.8265598,34874,0.13625000417232513
1515390929.8704994,35587,0.14875000715255737
1515391531.4603243,36302,0.17374999821186066
1515392136.9600554,37014,0.1587499976158142
1515392735.3185208,37720,0.17374999821186066
1515393331.0992098,38429,0.17374999821186066
1515393933.7383804,39143,0.16124999523162842
1515394531.7388973,39853,0.1862500011920929
1515395132.9989238,40567,0.17125000059604645
1515395731.2611325,41281,0.19750000536441803
1515396332.6425998,41997,0.20250000059604645
1515396934.1973882,42711,0.20250000059604645
1515397535.663798,43424,0.17000000178813934
1515398133.390235,44138,0.19249999523162842
1515398734.1307452,44854,0.20374999940395355
1515399336.3285549,45570,0.20999999344348907
1515399934.7330334,46284,0.17874999344348907
1515400538.4516413,46999,0.20874999463558197
1515401137.0871818,47710,0.19875000417232513
1515401739.1487658,48424,0.2224999964237213
1515402338.5778985,49137,0.23499999940395355
1515402936.859184,49851,0.23000000417232513
1515403539.9073706,50567,0.25
1515404140.0859563,51278,0.2487500011920929
1515404739.0938873,51992,0.2212499976158142
1515405339.3682578,52707,0.2487500011920929
1515405945.8141856,53422,0.2487500011920929
1515406553.7145257,54130,0.2800000011920929
1515407154.1047258,54828,0.26499998569488525
1515407742.59502,55526,0.27250000834465027
1515408344.1584885,56240,0.2837499976158142
1515408945.0102434,56953,0.26750001311302185
1515409542.7295308,57664,0.3100000023841858
1515410144.0006428,58379,0.2874999940395355
1515410745.7617848,59094,0.2762500047683716
1515411347.042804,59806,0.3062500059604645
1515411948.983039,60517,0.29499998688697815
1515412546.0482523,61226,0.3050000071525574
1515413147.0580719,61939,0.29374998807907104
1515413746.0151982,62653,0.3162499964237213
1515414346.086154,63368,0.3137499988079071
1515414949.8334377,64085,0.32124999165534973
1515415554.2768896,64796,0.32124999165534973
1515416156.6889985,65500,0.32499998807907104
1515416754.6588025,66203,0.3087500035762787
1515417349.74664,66911,0.33000001311302185
1515417952.1521542,67625,0.3400000035762787
1515418549.6797514,68335,0.32249999046325684
1515419148.430778,69048,0.33375000953674316
1515419749.661177,69766,0.36375001072883606
1515420349.7061758,70479,0.33000001311302185
1515420956.4768827,71194,0.35624998807907104
1515421569.1887918,71890,0.35624998807907104
1515422169.0194387,72555,0.3375000059604645
1515422769.4898503,73223,0.3499999940395355
1515423373.4985757,73901,0.3412500023841858
1515423965.1760652,74583,0.3425000011920929
1515424567.7082627,75278,0.38374999165534973
1515425170.7487037,75961,0.3712500035762787
1515425771.0496547,76638,0.35749998688697815
1515426369.0309563,77308,0.35749998688697815
1515426969.6509578,77984,0.3799999952316284
1515427570.2145004,78656,0.4012500047683716
1515428170.0248933,79329,0.3675000071525574
1515428771.3251007,80013,0.41499999165534973
1515429373.8990898,80700,0.39250001311302185
1515429970.814107,81389,0.39500001072883606
1515430571.732376,82078,0.375
1515431172.9858341,82769,0.3812499940395355
1515431772.0226996,83458,0.3499999940395355
1515432374.8253927,84148,0.3787499964237213
1515432971.220524,84836,0.3812499940395355
1515433573.0193825,85530,0.39500001072883606
1515434175.284797,86220,0.39750000834465027
